replicate,compartment_nr,treatment,compartment,treatment_compartment,color,rootweight[mg],QD[nmol],QD[nmol/root]
25,139,lowP,young,lowp_young,1,9.4134,1.85E-04,0.0017
26,143,lowP,young,lowp_young,1,7.1653,NA,NA
27,147,lowP,young,lowp_young,1,12.5083,1.54E-03,0.0192
28,151,lowP,young,lowp_young,1,10.1438,1.20E-03,0.0122
29,159,lowP,young,lowp_young,1,7.9454,1.42E-03,0.0113
30,163,lowP,young,lowp_young,1,5.7862,9.76E-04,0.0056
31,167,lowP,young,lowp_young,1,8.697,1.18E-03,0.0102
32,171,lowP,young,lowp_young,1,10.2587,2.83E-04,0.0029
33,175,lowP,young,lowp_young,1,10.0427,9.33E-04,0.0094
34,179,lowP,young,lowp_young,1,8.7732,1.29E-03,0.0113
35,183,lowP,young,lowp_young,1,7.9241,5.06E-04,0.004
36,NA,lowP,young,lowp_young,1,NA,NA,NA
37,191,lowP,young,lowp_young,1,6.9286,1.01E-03,0.007
38,195,lowP,young,lowp_young,1,7.0676,1.09E-03,0.0077
39,NA,lowP,young,lowp_young,1,NA,NA,NA
40,NA,lowP,young,lowp_young,1,NA,NA,NA
41,207,lowP,young,lowp_young,1,6.5679,1.07E-03,0.007
42,211,lowP,young,lowp_young,1,12.7961,6.65E-04,0.0085
43,215,lowP,young,lowp_young,1,14.4038,8.23E-04,0.0118
44,219,lowP,young,lowp_young,1,6.3242,6.10E-04,0.0039
45,223,lowP,young,lowp_young,1,8.3047,6.93E-04,0.0058
46,227,lowP,young,lowp_young,1,9.5601,6.87E-04,0.0066
47,231,lowP,young,lowp_young,1,11.5261,6.82E-04,0.0079
48,NA,lowP,young,lowp_young,1,NA,NA,NA
49,239,lowP,young,lowp_young,1,1.1706,2.36E-04,0.0003
1,1,control,established,control_established,2,69.955,4.08E-04,0.0286
2,5,control,established,control_established,2,46.383,3.58E-04,0.0166
3,9,control,established,control_established,2,54.1168,4.37E-04,0.0237
4,13,control,established,control_established,2,55.7401,5.52E-04,0.0307
5,29,control,established,control_established,2,72.3381,4.36E-04,0.0315
6,33,control,established,control_established,2,46.5829,5.43E-04,0.0253
7,37,control,established,control_established,2,55.4679,3.19E-04,0.0177
8,41,control,established,control_established,2,59.8552,6.73E-04,0.0403
9,45,control,established,control_established,2,69.899,4.61E-04,0.0323
10,49,control,established,control_established,2,47.9041,2.89E-04,0.0138
11,53,control,established,control_established,2,64.7271,4.49E-04,0.0291
12,57,control,established,control_established,2,71.5419,4.17E-04,0.0299
13,65,control,established,control_established,2,47.909,3.65E-04,0.0175
14,69,control,established,control_established,2,59.4031,5.98E-04,0.0355
15,73,control,established,control_established,2,84.3984,4.95E-04,0.0418
16,77,control,established,control_established,2,61.1112,5.91E-04,0.0361
17,93,control,established,control_established,2,71.3347,4.60E-04,0.0328
18,97,control,established,control_established,2,43.7572,3.33E-04,0.0146
19,101,control,established,control_established,2,41.9283,3.91E-04,0.0164
20,105,control,established,control_established,2,51.2592,4.12E-04,0.0211
21,109,control,established,control_established,2,86.8924,2.19E-04,0.019
22,117,control,established,control_established,2,57.3828,5.24E-04,0.0301
23,125,control,established,control_established,2,55.0224,1.01E-04,0.0056
24,129,control,established,control_established,2,55.5511,3.44E-04,0.0191
25,137,lowP,established,lowp_established,2,NA,1.54E-04,NA
26,141,lowP,established,lowp_established,2,57.7529,1.27E-04,0.0073
27,145,lowP,established,lowp_established,2,45.4238,4.45E-04,0.0202
28,149,lowP,established,lowp_established,2,50.553,3.24E-04,0.0164
29,157,lowP,established,lowp_established,2,55.7624,2.15E-04,0.012
30,161,lowP,established,lowp_established,2,65.3541,5.25E-04,0.0343
31,165,lowP,established,lowp_established,2,76.6219,3.78E-04,0.0289
32,169,lowP,established,lowp_established,2,56.3467,3.74E-04,0.0211
33,173,lowP,established,lowp_established,2,64.4779,3.46E-04,0.0223
34,177,lowP,established,lowp_established,2,58.5452,3.69E-04,0.0216
35,181,lowP,established,lowp_established,2,70.6871,4.07E-04,0.0288
36,185,lowP,established,lowp_established,2,63.5137,1.53E-04,0.0097
37,189,lowP,established,lowp_established,2,47.9444,2.85E-04,0.0136
38,193,lowP,established,lowp_established,2,49.9251,1.72E-04,0.0086
39,197,lowP,established,lowp_established,2,62.4624,2.84E-04,0.0177
40,201,lowP,established,lowp_established,2,45.1356,1.55E-04,0.007
41,205,lowP,established,lowp_established,2,52.1812,5.31E-04,0.0277
42,209,lowP,established,lowp_established,2,40.2868,2.09E-04,0.0084
43,213,lowP,established,lowp_established,2,40.3182,2.63E-04,0.0106
44,217,lowP,established,lowp_established,2,46.6116,4.68E-04,0.0218
45,221,lowP,established,lowp_established,2,32.538,3.07E-04,0.01
46,225,lowP,established,lowp_established,2,61.1569,1.83E-04,0.0112
47,229,lowP,established,lowp_established,2,74.7712,1.11E-04,0.0083
48,233,lowP,established,lowp_established,2,47.2581,1.23E-04,0.0058
49,237,lowP,established,lowp_established,2,65.2193,3.73E-04,0.0243
1,3,control,young,control_young,2,6.132,9.96E-05,0.0006
2,7,control,young,control_young,2,7.3937,5.31E-04,0.0039
3,11,control,young,control_young,2,10.4886,5.96E-04,0.0062
4,15,control,young,control_young,2,8.7672,5.09E-04,0.0045
5,31,control,young,control_young,2,12.1893,2.17E-04,0.0026
6,35,control,young,control_young,2,5.3827,2.79E-04,0.0015
7,39,control,young,control_young,2,14.0527,1.64E-04,0.0023
8,43,control,young,control_young,2,6.1649,2.74E-04,0.0017
9,47,control,young,control_young,2,10.1908,2.10E-04,0.0021
10,51,control,young,control_young,2,7.0713,2.39E-04,0.0017
11,55,control,young,control_young,2,6.9226,3.12E-04,0.0022
12,59,control,young,control_young,2,5.0292,2.43E-04,0.0012
13,67,control,young,control_young,2,6.3324,3.13E-04,0.002
14,71,control,young,control_young,2,7.6788,3.34E-04,0.0026
15,75,control,young,control_young,2,8.4136,2.33E-04,0.002
16,79,control,young,control_young,2,9.3521,3.66E-04,0.0034
17,95,control,young,control_young,2,9.0996,4.34E-04,0.0039
18,99,control,young,control_young,2,17.0481,1.17E-04,0.002
19,103,control,young,control_young,2,8.4696,2.95E-04,0.0025
20,107,control,young,control_young,2,9.2896,4.09E-04,0.0038
21,111,control,young,control_young,2,6.0063,3.24E-04,0.0019
22,119,control,young,control_young,2,7.0871,1.42E-04,0.001
23,127,control,young,control_young,2,6.6819,2.61E-04,0.0017
24,131,control,young,control_young,2,9.2815,4.64E-04,0.0043
25,139,lowP,young,lowp_young,2,9.4134,1.59E-04,0.0015
26,143,lowP,young,lowp_young,2,7.1653,1.05E-04,0.0008
27,147,lowP,young,lowp_young,2,12.5083,5.19E-04,0.0065
28,151,lowP,young,lowp_young,2,10.1438,5.26E-04,0.0053
29,159,lowP,young,lowp_young,2,7.9454,2.50E-04,0.002
30,163,lowP,young,lowp_young,2,5.7862,3.07E-04,0.0018
31,167,lowP,young,lowp_young,2,8.697,2.49E-04,0.0022
32,171,lowP,young,lowp_young,2,10.2587,2.46E-04,0.0025
33,175,lowP,young,lowp_young,2,10.0427,9.49E-05,0.001
34,179,lowP,young,lowp_young,2,8.7732,8.13E-05,0.0007
35,183,lowP,young,lowp_young,2,7.9241,2.26E-04,0.0018
36,NA,lowP,young,lowp_young,2,NA,NA,NA
37,191,lowP,young,lowp_young,2,6.9286,5.27E-05,0.0004
38,195,lowP,young,lowp_young,2,7.0676,2.86E-04,0.002
39,NA,lowP,young,lowp_young,2,NA,NA,NA
40,NA,lowP,young,lowp_young,2,NA,NA,NA
41,207,lowP,young,lowp_young,2,6.5679,3.15E-04,0.0021
42,211,lowP,young,lowp_young,2,12.7961,4.43E-04,0.0057
43,215,lowP,young,lowp_young,2,14.4038,3.01E-04,0.0043
44,219,lowP,young,lowp_young,2,6.3242,6.56E-05,0.0004
45,223,lowP,young,lowp_young,2,8.3047,1.70E-04,0.0014
46,227,lowP,young,lowp_young,2,9.5601,1.63E-03,0.0156
47,231,lowP,young,lowp_young,2,11.5261,8.73E-05,0.001
48,NA,lowP,young,lowp_young,2,NA,NA,NA
49,239,lowP,young,lowp_young,2,1.1706,3.92E-04,0.0005
1,1,control,established,control_established,3,69.955,5.32E-05,0.0029
2,5,control,established,control_established,3,46.383,4.24E-05,0.0014
3,9,control,established,control_established,3,54.1168,7.64E-05,0.0035
4,13,control,established,control_established,3,55.7401,5.43E-05,0.0024
5,29,control,established,control_established,3,72.3381,3.51E-05,0.0017
6,33,control,established,control_established,3,46.5829,2.81E-05,0.0008
7,37,control,established,control_established,3,55.4679,2.72E-05,0.0009
8,41,control,established,control_established,3,59.8552,1.23E-04,0.0066
9,45,control,established,control_established,3,69.899,4.83E-05,0.0026
10,49,control,established,control_established,3,47.9041,2.77E-05,0.0008
11,53,control,established,control_established,3,64.7271,5.06E-05,0.0025
12,57,control,established,control_established,3,71.5419,2.39E-05,0.0009
13,65,control,established,control_established,3,47.909,4.12E-05,0.0014
14,69,control,established,control_established,3,59.4031,6.29E-05,0.003
15,73,control,established,control_established,3,84.3984,5.30E-05,0.0035
16,77,control,established,control_established,3,61.1112,5.20E-05,0.0025
17,93,control,established,control_established,3,71.3347,3.43E-05,0.0016
18,97,control,established,control_established,3,43.7572,2.70E-05,0.0007
19,101,control,established,control_established,3,41.9283,4.47E-05,0.0014
20,105,control,established,control_established,3,51.2592,2.90E-05,0.0009
21,109,control,established,control_established,3,86.8924,3.96E-05,0.0024
22,117,control,established,control_established,3,57.3828,2.51E-05,0.0008
23,125,control,established,control_established,3,55.0224,2.32E-05,0.0006
24,129,control,established,control_established,3,55.5511,3.79E-05,0.0015
25,137,lowP,established,lowp_established,3,NA,1.77E-05,NA
26,141,lowP,established,lowp_established,3,57.7529,2.87E-05,0.001
27,145,lowP,established,lowp_established,3,45.4238,6.56E-05,0.0024
28,149,lowP,established,lowp_established,3,50.553,2.86E-05,0.0008
29,157,lowP,established,lowp_established,3,55.7624,2.66E-05,0.0008
30,161,lowP,established,lowp_established,3,65.3541,4.70E-05,0.0023
31,165,lowP,established,lowp_established,3,76.6219,1.45E-05,0.0002
32,169,lowP,established,lowp_established,3,56.3467,3.45E-05,0.0013
33,173,lowP,established,lowp_established,3,64.4779,3.71E-05,0.0016
34,177,lowP,established,lowp_established,3,58.5452,3.51E-05,0.0014
35,181,lowP,established,lowp_established,3,70.6871,1.87E-05,0.0005
36,185,lowP,established,lowp_established,3,63.5137,3.66E-05,0.0016
37,189,lowP,established,lowp_established,3,47.9444,3.10E-05,0.0009
38,193,lowP,established,lowp_established,3,49.9251,2.54E-05,0.0007
39,197,lowP,established,lowp_established,3,62.4624,2.10E-05,0.0006
40,201,lowP,established,lowp_established,3,45.1356,2.84E-05,0.0007
41,205,lowP,established,lowp_established,3,52.1812,3.19E-05,0.001
42,209,lowP,established,lowp_established,3,40.2868,3.36E-05,0.0009
43,213,lowP,established,lowp_established,3,40.3182,4.80E-05,0.0015
44,217,lowP,established,lowp_established,3,46.6116,4.22E-05,0.0014
45,221,lowP,established,lowp_established,3,32.538,1.62E-05,0.0001
46,225,lowP,established,lowp_established,3,61.1569,4.86E-05,0.0022
47,229,lowP,established,lowp_established,3,74.7712,2.41E-05,0.0009
48,233,lowP,established,lowp_established,3,47.2581,2.84E-05,0.0008
49,237,lowP,established,lowp_established,3,65.2193,4.61E-05,0.0022
1,3,control,young,control_young,3,6.132,3.28E-05,0.0001
2,7,control,young,control_young,3,7.3937,3.06E-05,0.0001
3,11,control,young,control_young,3,10.4886,5.19E-05,0.0004
4,15,control,young,control_young,3,8.7672,2.56E-05,0.0001
5,31,control,young,control_young,3,12.1893,2.68E-05,0.0002
6,35,control,young,control_young,3,5.3827,3.76E-05,0.0001
7,39,control,young,control_young,3,14.0527,2.22E-05,0.0001
8,43,control,young,control_young,3,6.1649,3.40E-05,0.0001
9,47,control,young,control_young,3,10.1908,2.23E-05,0.0001
10,51,control,young,control_young,3,7.0713,3.21E-05,0.0001
11,55,control,young,control_young,3,6.9226,9.85E-06,0
12,59,control,young,control_young,3,5.0292,4.27E-05,0.0002
13,67,control,young,control_young,3,6.3324,2.37E-05,0.0001
14,71,control,young,control_young,3,7.6788,3.50E-05,0.0002
15,75,control,young,control_young,3,8.4136,2.94E-05,0.0001
16,79,control,young,control_young,3,9.3521,1.52E-05,0
17,95,control,young,control_young,3,9.0996,6.11E-05,0.0004
18,99,control,young,control_young,3,17.0481,1.13E-05,0
19,103,control,young,control_young,3,8.4696,2.39E-05,0.0001
20,107,control,young,control_young,3,9.2896,3.81E-05,0.0002
